repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
backnotprop/plannotator	6492	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1
AgriciDaniel/claude-ads	6466	Python	false	false	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0
rohitg00/agentmemory	23967	TypeScript	false	false	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1
open-multi-agent/open-multi-agent	6436	TypeScript	false	false	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
OthmanAdi/planning-with-files	23914	Python	false	false	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1
mattpocock/sandcastle	6396	TypeScript	false	false	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
SuperClaude-Org/SuperClaude_Framework	23380	Python	false	false	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1
nirholas/fresh-start	6280	?	false	false	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
strands-agents/harness-sdk	6274	Python	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0
nocobase/nocobase	23090	TypeScript	false	false	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1
wonderwhy-er/DesktopCommanderMCP	6207	TypeScript	false	false	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
zarazhangrui/frontend-slides	22927	JavaScript	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
SimoneAvogadro/android-reverse-engineering-skill	6196	Shell	false	false	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1
manaflow-ai/cmux	22882	Swift	false	false	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1
github/CopilotForXcode	6157	Swift	false	false	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NirDiamant/GenAI_Agents	22851	Jupyter Notebook	false	false	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
google-labs-code/stitch-skills	6155	TypeScript	false	false	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0
micro/go-micro	22814	Go	false	false	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0
helloianneo/ian-xiaohei-illustrations	6058	?	false	false	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
agentsmd/agents.md	22476	TypeScript	false	false	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
